site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
"Tupac Amaru, Cantera",-13.7228,-76.13722,Ica,N,Diatomite,,Y,Producer,Diatomite,Surface,Diatomite,
"Pique, Mina",-8.13831,-78.17449,La Libertad,M,"Zinc, Lead, Silver",,M,Producer,,,Volcanic Rock (Aphanitic),Andesite
El Milagro,-7.79304,-79.37897,La Libertad,N,Sodium,,Y,Producer,,,,
Santiago,-14.23112,-75.73304,Ica,M,Gold,Placer,Y,Producer,,,,
Bayovar,-5.14816,-80.99984,Piura,N,Phosphorus-Phosphates,,Y,Producer,Diatomite,,Diatomite,
"Ventanilla, Prospecto",-6.74809,-76.38306,San Martin,N,"Halite, Gypsum-Anhydrite",,N,Producer,,,,
Cerro Punta Colorada Deposit,-18.08487,-70.74263,Tacna,N,Gypsum-Anhydrite,"Evaporite, Continental",S,Producer,Gypsum,Surface,"Clay, Mud,Gravel,Sand and Gravel,Evaporite",
Santa Dorotea Mine,-17.61434,-69.94955,Tacna,M,"Silver, Lead",,S,Producer,"Anglesite, Galena",,"Limestone,Volcanic Rock (Aphanitic)",
Quartillo,-13.8778,-75.67943,Ica,M,Copper,,S,Producer,"Chalcocite, Chalcopyrite, Chrysocolla, Copper, Iron, Pyrite",,Diorite,
Fortuna,-13.83586,-75.65026,Ica,M,Copper,,S,Producer,"Chalcopyrite, Malachite",,Diorite,
San Pablo Mine,-14.20723,-75.40137,Ica,M,Copper,,S,Producer,"Bornite, Chalcocite, Chalcopyrite, Chrysocolla, Cuprite, Malachite, Pyrite, Turquoise",Surface/Underground,"Hornfels,Slate,Quartzite,Andesite,Basalt",Diorite
Maria Teresa,-11.48511,-77.26169,Lima,B,"Barium-Barite, Lead, Zinc",,S,Producer,"Barite, Chalcopyrite, Galena, Pyrite, Sphalerite",,Tuff,Basalt
Sinchao Deposit,-6.33144,-78.66646,Cajamarca,M,"Silver, Copper",,S,Producer,"Chalcopyrite, Enargite, Galena, Pyrite, Sphalerite, Tetrahedrite",Unknown,Limestone,Diorite
"Maria, Mina",-8.13831,-78.17449,La Libertad,M,"Silver, Zinc, Lead",,M,Producer,,,Volcanic Rock (Aphanitic),Andesite
