site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Concesion,-3.6249,-77.8031,Amazonas,M,Gold,,U,Occurrence,,,,
"Tamborapa, Consecion",-5.37621,-78.73312,Amazonas,M,Gold,,U,Occurrence,,,,
"Chinchillo No 1, Mina",-6.83475,-77.9931,Amazonas,M,Copper,,N,Occurrence,,,Andesite,Granite
Prospecto,-6.69142,-77.75976,Amazonas,M,Gold,,U,Occurrence,,,,
"Lopez, Prospecto",-6.58142,-77.80255,Amazonas,M,Gold,,Y,Occurrence,,,,
"Santa Ursula, Mina",-9.78129,-77.64976,Ancash,M,"Zinc, Lead, Silver",,N,Occurrence,,,Andesite,"Tuff,Volcanic Breccia (Agglomerate),Andesite"
"Rosita De Oro, Mina",-9.55797,-77.05307,Ancash,M,"Silver, Lead",,M,Producer,,Surface/Underground,Limestone,Dacite
"Delicias, Mina",-9.49797,-77.41642,Ancash,M,"Lead, Silver",,S,Past Producer,Galena,Unknown,Limestone,
"Huamayara, Mina",-8.38135,-78.38311,Ancash,M,"Silver, Gold",,Y,Past Producer,,,Diorite,Diorite
"Santo Toribio Fc, Mina",-9.49797,-78.0831,Ancash,M,"Lead, Copper, Silver",,N,Occurrence,,,Diorite,"Diorite,Andesite"
"Poderosa, Mina",-9.3313,-77.16642,Ancash,M,"Lead, Silver",,M,Producer,Galena,,Quartzite,Andesite
"San Miguel, Mina",-9.49797,-77.16642,Ancash,M,"Lead, Silver",,S,Past Producer,Galena,Underground,Limestone,
"San Jose, Mina",-8.19802,-77.89977,Ancash,M,"Lead, Silver",,S,Past Producer,,,Limestone,
"Sara Luisa, Mina.",-8.19802,-77.89977,Ancash,M,"Silver, Lead",,S,Past Producer,,,Limestone,Diorite
"San Agustin De La Alta Gracia, Mina",-8.19802,-77.83309,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,Diorite
"Estibina, Mina",-8.16469,-77.83309,Ancash,M,"Silver, Antimony",,Y,Past Producer,Galena,,Limestone,Diorite
"Senor De La Soledad De Recuay, Mina",-9.66463,-77.49976,Ancash,M,"Silver, Lead, Zinc",,Y,Past Producer,Galena,,Andesite,"Volcanic Breccia (Agglomerate),Andesite"
"Santisima Cruz De Pedro Urraca, Mina",-8.33135,-77.96644,Ancash,M,"Silver, Gold",,Y,Past Producer,,,Slate,
"Santon, Mina",-9.88128,-77.04974,Ancash,M,"Lead, Zinc, Silver",,S,Past Producer,,,Andesite,Andesite
"Rufina No 2, Mina",-8.24802,-77.96644,Ancash,M,"Silver, Gold",,S,Past Producer,,,Slate,"Diorite,Andesite"
"Patricia A.P.R., Mina",-9.73129,-77.34975,Ancash,M,"Lead, Silver",,S,Producer,,,Andesite,Andesite
"Pararrayo, Mina",-9.96462,-77.19975,Ancash,M,"Zinc, Copper, Lead, Silver",,S,Past Producer,Galena,,Limestone,
"Nueva California, Mina",-9.16465,-77.66643,Ancash,M,"Gold, Silver",,S,Producer,Galena,Underground,Quartzite,Granite
"Santa Deda No 2, Mina",-9.78129,-77.63309,Ancash,M,"Zinc, Lead, Silver",,S,Producer,,,Volcanic Rock (Aphanitic),Volcanic Rock (Aphanitic)
"Los Milagros, Mina",-8.13136,-78.16644,Ancash,M,"Copper, Silver, Tungsten",,S,Producer,,,Diorite,Diorite
"Huacchara, Mina",-8.19802,-78.2331,Ancash,M,"Copper, Lead, Silver",,S,Producer,,,Limestone,Granite
"Teresita, Mina",-8.13136,-78.19977,Ancash,M,"Silver, Gold, Zinc, Copper",,S,Past Producer,,,Limestone,Diorite
"Huaron, Mina",-9.78963,-77.53309,Ancash,M,"Silver, Copper",,Y,Past Producer,Galena,,Andesite,"Tonalite,Andesite"
"Diez Hermanos, Mina.",-9.73129,-77.49976,Ancash,M,"Silver, Copper, Lead, Zinc",,S,Past Producer,Galena,,Andesite,Andesite
"Gioconda, Mina",-9.74796,-77.50254,Ancash,M,"Copper, Zinc, Silver",,S,Producer,Galena,,Andesite,Andesite
"Washington, Mina.",-9.11465,-77.49976,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,,
"Carmelita, Mina",-9.84795,-77.46919,Ancash,M,"Lead, Zinc, Silver",,S,Past Producer,Galena,,Andesite,Andesite
"Alerta, Mina",-9.82573,-77.45864,Ancash,M,"Zinc, Copper, Lead, Silver",,S,Producer,,,Trachyte,Andesite
"San Santiago De Aija, Mina",-9.83128,-77.48309,Ancash,M,"Lead, Zinc, Silver",,Y,Past Producer,Galena,,Andesite,Andesite
"San Salvador, Mina",-9.81463,-77.45808,Ancash,M,"Zinc, Copper, Lead, Silver",,S,Producer,Galena,,Andesite,"Tuff,Andesite"
"Andes Tres, Mina",-9.68685,-77.68643,Ancash,M,"Silver, Zinc, Lead",,S,Past Producer,Galena,Underground,Andesite,Andesite
"San Elias, Mina.",-9.68129,-77.84143,Ancash,M,"Zinc, Lead, Silver",,S,Producer,Galena,Underground,Slate,Andesite
"Carmencita, Mina.",-9.60907,-77.52476,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,Andesite
"Argentina I Y Ii, Mina",-9.58129,-77.50809,Ancash,M,"Silver, Lead",,Y,Past Producer,Galena,,Andesite,Andesite
"Pachapaqui, Mina",-9.94795,-77.08307,Ancash,M,"Lead, Silver, Zinc, Copper",,S,Producer,,,Limestone,
"Amistad, Mina",-9.07299,-77.45808,Ancash,M,"Zinc, Copper, Lead, Silver",,Y,Producer,,,Granite,Granite
"Esperada, Mina",-9.4813,-77.69976,Ancash,M,"Silver, Lead, Copper, Zinc",,S,Producer,,,Andesite,Andesite
"San Jose De Huallpa, Mina",-9.15576,-77.48309,Ancash,M,"Zinc, Lead, Silver",,S,Past Producer,Galena,,"Limestone,Andesite",Andesite
"Poker De Ases, Mina",-9.79129,-77.51309,Ancash,M,"Zinc, Lead, Silver",,S,Past Producer,Galena,,Andesite,"Tuff,Andesite"
"Suerte, Mina",-9.37464,-77.23975,Ancash,M,"Silver, Gold",,Y,Occurrence,,Underground,Shale,Diorite
"El Dorado, Mina",-10.44126,-77.39975,Ancash,M,"Copper, Silver",,S,Producer,Galena,,Andesite,Andesite
"Esperancita, Mina",-10.03128,-77.04974,Ancash,M,"Copper, Zinc, Lead, Silver",,Y,Past Producer,Galena,,"Quartzite,Shale,Limestone",
"El Guaycho, Mina",-8.26469,-77.99976,Ancash,M,"Lead, Silver, Antimony",,Y,Occurrence,,,"Slate,Schist,Shale",Andesite
"Chauchara, Mina",-8.6705,-78.0831,Ancash,M,"Silver, Lead, Antimony",,Y,Past Producer,Galena,,Shale,
"El Extrano, Mina",-9.26465,-77.91644,Ancash,M,"Silver, Lead, Zinc",,S,Producer,Galena,,Limestone,Andesite
"San Martin, Mina",-9.74796,-78.24977,Ancash,N,"Limestone, General",,M,Producer,,,"Slate,Quartzite,Limestone",
"Tayapampa, Mina",-9.08132,-77.99976,Ancash,M,"Copper, Silver",,S,Past Producer,Galena,,Limestone,Diorite
"Aija, Mina",-9.76463,-77.56643,Ancash,M,"Zinc, Lead, Silver",,S,Past Producer,Galena,,Andesite,Andesite
"Don Lorenzo, Mina",-9.66463,-77.49976,Ancash,M,"Zinc, Lead, Silver",,S,Producer,,,Volcanic Rock (Aphanitic),Volcanic Rock (Aphanitic)
"La Esperanza, Mina",-8.798,-77.49976,Ancash,M,"Zinc, Copper, Lead, Silver",,Y,Past Producer,,Underground,Limestone,Diorite
"Luz Maria Dolomita, Mina",-8.94799,-78.44978,Ancash,N,Dolomite,,N,Prospect,,,,"Diorite,Granite"
"San Isidro De Chontayoc, Mina",-9.49797,-77.49976,Ancash,M,Molybdenum,,Y,Past Producer,,,Andesite,Andesite
"San Braulio, Mina",-9.99794,-77.54976,Ancash,M,"Lead, Copper, Silver",,S,Producer,Galena,,Andesite,"Dacite,Andesite"
"Samuel D.A., Mina",-9.4313,-77.84976,Ancash,M,Molybdenum,,Y,Occurrence,,,Granite,Granite
"Jhon Rafael, Mina",-10.03128,-77.33308,Ancash,M,"Zinc, Lead, Silver",,S,Producer,Galena,,"Quartzite,Andesite",Diorite
"Improvisada 59 Segundos, Mina",-9.99794,-77.41642,Ancash,M,"Copper, Zinc, Silver",,Y,Occurrence,Galena,,Limestone,
"Luis M.L., Mina",-9.88406,-77.43725,Ancash,M,"Zinc, Copper, Lead, Silver",,Y,Past Producer,Galena,,"Slate,Andesite",Andesite
"Bella Rosa, Mina",-10.04795,-77.50393,Ancash,M,"Silver, Copper",,Y,Past Producer,"Atacamite, Malachite",,Andesite,Andesite
"Rocio, Mina",-9.84795,-77.51643,Ancash,M,"Lead, Silver",,Y,Past Producer,Galena,,Andesite,Andesite
"Vale Un Peru, Mina",-8.99798,-78.0331,Ancash,M,"Copper, Silver",,Y,Producer,,,"Diorite,Limestone",Diorite
"Perla A.B., Mina",-9.06466,-77.63726,Ancash,M,"Lead, Silver",,S,Past Producer,Galena,,,
"Cinco De Oro, Mina",-9.08132,-77.28308,Ancash,M,Silver,,Y,Past Producer,,,,
"Ramon Castilla, Mina",-9.14465,-77.09975,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,,,Quartzite,
"Granito, Mina",-9.94795,-77.44975,Ancash,M,"Lead, Silver, Zinc, Copper",,Y,Occurrence,Galena,,Andesite,Andesite
"Gotas De Oro, Mina",-9.66463,-77.16642,Ancash,M,"Lead, Silver",,Y,Past Producer,,,Slate,
"Gran Fortuna M, Cantera",-9.11465,-78.44978,Ancash,N,"Sand and Gravel, Construction",,S,Producer,,,,Volcanic Rock (Aphanitic)
"Cocabal, Mina",-8.51468,-78.14977,Ancash,N,Graphite,,S,Past Producer,,,,Andesite
"La Limena, Mina",-8.66467,-78.01644,Ancash,N,Graphite,,S,Past Producer,,,Quartzite,
"Juan Julio, Mina",-9.83128,-77.46642,Ancash,M,"Silver, Zinc, Lead",,S,Producer,Galena,Underground,Tuff,Tuff
"La Galgada, Mina",-8.46468,-78.1331,Ancash,N,Graphite,,S,Past Producer,,,Quartzite,
"Anastasita, Mina",-9.3813,-77.64976,Ancash,M,"Zinc, Lead, Silver",,S,Producer,,,Andesite,Andesite
"Cesar 53, Mina",-10.03128,-77.24975,Ancash,M,"Gold, Zinc, Lead, Silver",,U,Occurrence,,Underground,Andesite,Andesite
"Curayacu, Mina",-9.36464,-77.54976,Ancash,M,"Zinc, Lead, Silver",,U,Producer,Galena,,Andesite,Andesite
"Los Tres Reyes, Mina",-9.58129,-77.49698,Ancash,M,"Silver, Lead, Zinc",,Y,Producer,Galena,,Volcanic Rock (Aphanitic),"Tuff,Volcanic Breccia (Agglomerate),Andesite"
"Pushaquilca, Mina",-8.16469,-77.89977,Ancash,M,"Zinc, Lead, Gold, Silver",,S,Past Producer,Galena,,"Slate,Quartzite",Diorite
"Virgen De Las Mercedes, Mina",-9.58129,-77.53309,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Andesite,Andesite
"Pallasca No 2, Mina",-8.24802,-77.96644,Ancash,M,"Lead, Silver",,Y,Producer,Galena,,"Slate,Shale",Diorite
"Fortaleza 13 Catorce, Mina",-9.83128,-77.41642,Ancash,M,"Copper, Silver",,Y,Past Producer,Galena,,Andesite,Andesite
"Antario, Mina",-9.06466,-77.56643,Ancash,M,"Zinc, Copper, Lead, Silver",,Y,Occurrence,Galena,,Andesite,Andesite
"Huamayara R.C., Mina",-8.46468,-77.99976,Ancash,M,"Silver, Gold",,Y,Past Producer,,,Diorite,Diorite
"La Esperanza De Huaraz, Mina",-9.49797,-77.8831,Ancash,M,"Zinc, Lead, Gold, Silver",,S,Producer,,Underground,Andesite,"Monzonite,Andesite"
"Aida, Mina",-9.91462,-77.11642,Ancash,M,"Silver, Lead, Zinc",,S,Past Producer,Galena,,Limestone,
"La Esperanza, Mina",-9.93128,-77.09975,Ancash,M,"Zinc, Lead, Silver",,S,Past Producer,Galena,,Limestone,
"Patria, Mina",-9.09798,-77.09975,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,"Diorite,Dacite"
"San Miguel, Mina",-9.88128,-77.13308,Ancash,M,"Lead, Silver, Zinc",,Y,Past Producer,Galena,,Limestone,Diorite
"Flor De Aquia No 3, Mina",-9.89795,-77.18308,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,,Diorite
"Auxilio, Mina",-9.89795,-77.04974,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,Diorite
"El Dorado I, Mina",-9.16465,-77.49976,Ancash,M,"Silver, Gold",,S,Past Producer,,Underground,"Diorite,Shale",Diorite
"Riqueza, Mina",-9.93128,-77.56643,Ancash,M,"Zinc, Lead, Silver, Copper",,Y,Past Producer,Galena,,Limestone,"Diorite,Dacite"
"Pravda, Mina",-9.90628,-77.05807,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,
"Diamante, Mina",-9.92573,-77.06363,Ancash,M,"Silver, Zinc, Lead",,Y,Producer,Galena,,"Shale,Limestone","Diorite,Dacite"
"Eureka, Mina",-9.93406,-77.0553,Ancash,M,"Copper, Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,Dacite
"Arabia, Mina",-9.91462,-77.08307,Ancash,M,"Lead, Zinc, Silver",,Y,Past Producer,Galena,,,
"Traviezo, Mina",-9.91184,-77.07474,Ancash,M,"Copper, Silver, Lead, Zinc",,Y,Past Producer,Galena,,Limestone,
"Martin Luther King, Mina",-9.83128,-77.04974,Ancash,M,"Lead, Silver",,Y,Past Producer,Galena,,Limestone,
"Aguila, Mina",-8.58134,-77.68309,Ancash,M,"Copper, Molybdenum",,S,Producer,,,Shale,"Monzonite,Mafic Intrusive Rock,Diorite,Volcanic Breccia (Agglomerate),Andesite"
"Buenos Aires, Mina",-9.5313,-77.99976,Ancash,N,"Limestone, General",,N,Occurrence,,,Limestone,Andesite
"Chuquicara, Lavaderos De Oro.",-8.66467,-78.24978,Ancash,M,Gold,,Y,Past Producer,,,,
"Padre Urraca Primero, Mina",-8.99798,-78.0831,Ancash,M,Copper,,Y,Past Producer,Malachite,,Limestone,
"Cinco Hermanos, Mina.",-9.74796,-77.59976,Ancash,M,"Zinc, Lead",,S,Past Producer,,,Slate,
"Wicrococha, Mina.",-8.93132,-77.54976,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Quartzite,Diorite
"Virgen Del Pilar L.V.F., Mina",-9.96462,-77.74976,Ancash,M,"Zinc, Silver, Lead",,S,Producer,Galena,,"Volcanic Breccia (Agglomerate),Andesite",Andesite
"Fernando Javier A.G., Mina",-9.13131,-78.38311,Ancash,M,Gold,,S,Past Producer,,,Diorite,"Diorite,Plutonic Rock"
"Dos De Mayo, Mina",-9.74796,-77.49976,Ancash,M,"Lead, Zinc, Silver",,S,Past Producer,Galena,,Andesite,Andesite
"El Milagro, Mina",-9.46464,-77.23308,Ancash,M,"Zinc, Lead, Silver",,Y,Producer,Galena,,Quartzite,
"Atahualpa, Mina",-8.29802,-77.89977,Ancash,M,"Copper, Silver",,Y,Past Producer,Galena,,Quartzite,
"Mercedes Y Maria, Mina",-8.83133,-78.06644,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,,,Diorite,Diorite
"Mercedes D.A.B., Mina",-9.40075,-77.97477,Ancash,M,"Silver, Zinc, Lead",,Y,Past Producer,Galena,,Volcanic Breccia (Agglomerate),Diorite
"Rosa Amelia, Mina",-10.03128,-78.04977,Ancash,M,"Copper, Gold",,Y,Occurrence,,,,
"Juan Julio No 2, Mina",-9.78963,-77.53309,Ancash,M,"Lead, Zinc, Silver",,S,Producer,Galena,,"Dacite,Andesite","Dacite,Andesite"
"Ancos, Mina",-8.53134,-78.04977,Ancash,N,Graphite,,Y,Past Producer,,,"Slate,Conglomerate,Limestone",
"Lucky Strike, Mina",-9.43964,-77.46642,Ancash,M,"Silver, Zinc, Lead",,S,Past Producer,,Surface/Underground,"Slate,Quartzite",
"Santa Rosa, Mina",-9.08132,-76.96641,Ancash,M,"Lead, Silver",,Y,Past Producer,,,"Quartzite,Limestone",
"El Dorado, Mina",-10.49793,-77.46642,Ancash,M,"Copper, Silver",,Y,Past Producer,,,Granite,Granite
"Rocicler, Mina",-9.56464,-77.68865,Ancash,M,"Zinc, Copper, Lead, Silver",,Y,Past Producer,Galena,,,
"Sinchi Roca, Mina",-9.63129,-77.19975,Ancash,M,"Silver, Zinc, Lead",,Y,Past Producer,Galena,,"Quartzite,Shale",Diorite
"Solo De Oros, Mina",-9.13131,-77.27336,Ancash,M,"Silver, Zinc",,Y,Past Producer,Galena,,"Quartzite,Limestone",
"San Pablo, Mina",-10.04795,-77.06641,Ancash,M,"Copper, Zinc, Lead, Silver",,Y,Past Producer,,,Limestone,
"San Mauro, Mina",-9.58129,-77.63309,Ancash,M,"Zinc, Copper, Lead, Silver",,Y,Past Producer,,,Limestone,Diorite
"Santa Emilia, Mina",-9.01466,-77.94977,Ancash,M,"Copper, Lead, Silver",,Y,Past Producer,Galena,,"Slate,Quartzite",
"Carmela, Mina",-13.57642,-73.2302,Apurimac,M,Copper,,Y,Prospect,,Underground,,
"Santo Tomas De Aquino, Mina",-13.7228,-73.04131,Apurimac,M,Silver,,N,Occurrence,,,,
"Septentrion, Mina",-14.38056,-73.06353,Apurimac,M,"Copper, Lead",,N,Occurrence,Galena,Surface,,
Cristo De Los Andes Mina,-14.24778,-72.34962,Apurimac,M,Copper,,S,Occurrence,,Surface/Underground,,Monzonite
"Carmen Bonita, Mina",-13.41448,-72.83296,Apurimac,M,"Lead, Silver",,N,Occurrence,"Argentite, Galena",Underground,"Shale,Limestone",Monzonite
"Rosario C, Mina",-13.78113,-72.67463,Apurimac,M,"Copper, Silver",,S,Prospect,,Underground,,
"Juan Pablo Segundo, Mina",-13.72502,-72.88575,Apurimac,M,"Iron, Copper, Silver",Manto,Y,Prospect,,Surface/Underground,,
"Senor De Inquilpata, Mina",-13.75336,-72.68574,Apurimac,M,Iron,,N,Occurrence,,,Limestone,
"Patricia Segunda, Mina",-13.64586,-72.90881,Apurimac,M,"Copper, Silver",Stockwork,N,Occurrence,,Surface,,
"Paraiso, Mina",-13.54781,-72.69963,Apurimac,M,"Copper, Silver, Gold",,N,Occurrence,,,,
"Choquemarca, Mina",-13.70947,-72.5313,Apurimac,M,"Silver, Copper",,U,Past Producer,,Underground,"Monzonite,Limestone",Diorite
"Roxana, Mina",-13.64697,-72.87908,Apurimac,M,Copper,,N,Occurrence,,,,
"Olimpia Ii, Mina",-13.51587,-72.99075,Apurimac,M,"Gold, Silver, Copper",,N,Occurrence,,,,
"Martha Primera, Mina",-14.34611,-72.84019,Apurimac,M,"Silver, Gold",,Y,Producer,,Underground,,"Tonalite,Diorite"
"Focomarca, Mina",-14.24778,-72.49962,Apurimac,M,Copper,,U,Occurrence,Malachite,,Limestone,Diorite
"Calvario, Mina",-14.24778,-72.64963,Apurimac,M,"Silver, Lead",,U,Occurrence,Galena,,Limestone,Granite
"Yanaminas, Mina",-14.08112,-72.49963,Apurimac,M,"Gold, Copper, Silver",,U,Occurrence,Malachite,,Granite,Granite
"Alcacahua, Mina",-14.08112,-72.49963,Apurimac,M,"Copper, Gold",,Y,Occurrence,Galena,,Limestone,Granite
"Cochasayhuas, Mina",-14.10446,-72.49963,Apurimac,M,"Copper, Silver, Gold",,Y,Past Producer,Galena,Underground,"Quartzite,Shale",Diorite
"Natividad Maria, Mina",-14.33945,-73.07408,Apurimac,M,"Silver, Zinc, Lead",,N,Occurrence,,Underground,"Diorite,Limestone",Diorite
"Maria Ofelia, Mina",-14.32084,-73.08631,Apurimac,M,"Lead, Copper, Silver",,Y,Occurrence,,Underground,,Diorite
"Fedora, Mina",-14.30889,-73.09686,Apurimac,M,Copper,,N,Occurrence,,Surface,,Diorite
"El Salvador, Mina",-14.39778,-73.13297,Apurimac,M,"Lead, Zinc, Silver",,N,Occurrence,,Surface,Quartzite,
"Augusta Elena Segunda, Mina",-14.58388,-73.07297,Apurimac,M,"Lead, Silver, Antimony",,N,Occurrence,,Surface,Volcanic Breccia (Agglomerate),
El Condor Mina,-14.00612,-72.7163,Apurimac,M,Copper,,N,Occurrence,,Underground,Limestone,Monzonite
"Huayna Capac No. 1, Mina",-13.63947,-73.08575,Apurimac,M,Copper,,U,Occurrence,Malachite,,,
Prospecto Las Colinas,-13.83835,-72.43073,Apurimac,M,"Copper, Silver",,N,Occurrence,Malachite,Surface,Limestone,Diorite
"La Sorpresa, Mina",-14.06779,-72.47545,Apurimac,M,"Silver, Copper",,Y,Past Producer,Malachite,,Limestone,Diorite
"Bornita Grau No. 1, Mina",-13.97001,-72.43573,Apurimac,M,Copper,,U,Occurrence,,,Limestone,Diorite
"Bornita Grau No. 2, Mina",-13.97001,-72.43573,Apurimac,M,Copper,,U,Occurrence,,,Limestone,Diorite
"Bornita Grau No. 5, Mina",-13.97001,-72.43573,Apurimac,M,Copper,,U,Occurrence,,,Limestone,Diorite
"Bornita Grau No. 6, Mina",-13.97001,-72.43573,Apurimac,M,Copper,,U,Occurrence,,,Limestone,Diorite
"Plomiza No. 1, Mina",-14.49777,-73.01631,Apurimac,M,"Silver, Gold, Lead, Zinc",,U,Occurrence,,,"Shale,Limestone",Diorite
"Palao No. 11, Mina",-14.25889,-72.38295,Apurimac,M,"Silver, Lead",,U,Occurrence,,,Limestone,
"Americo Dario, Mina",-14.11445,-72.16629,Apurimac,M,"Silver, Copper",,U,Occurrence,,,Limestone,
"Maria Del Carmen, Mina",-13.98946,-73.19964,Apurimac,M,"Copper, Silver, Gold",,U,Occurrence,,,,Andesite
"La Maria, Mina",-15.6594,-74.16633,Arequipa,M,"Copper, Lead, Silver, Gold",,N,Occurrence,,Underground,,
"Alberto I, Mina",-15.49774,-73.49965,Arequipa,M,Copper,,Y,Producer,,,"Volcanic Breccia (Agglomerate),Granite",Granite
"Arrayan Grande, Mina",-15.8644,-74.23717,Arequipa,M,Copper,,U,Occurrence,,,,
"Huiscoro, Unidad",-15.7144,-73.41632,Arequipa,M,Gold,,Y,Past Producer,,,"Diorite,Volcanic Rock (Aphanitic)",Diorite
"San Silvestre - San Jorge, Unidad",-15.74773,-73.79966,Arequipa,M,Gold,,N,Occurrence,,,"Diorite,Volcanic Rock (Aphanitic)",Diorite
"Gama, Unidad",-14.74777,-74.16634,Arequipa,M,Gold,,Y,Occurrence,,,Diorite,Diorite
"Sol De Oro, Unidad",-14.66444,-74.83301,Arequipa,M,Gold,,Y,Occurrence,,,,
"Saramarca, Unidad",-14.49778,-75.16636,Arequipa,M,Gold,,Y,Occurrence,,,,"Diorite,Volcanic Rock (Aphanitic)"
"Chapi, Mina",-15.12553,-71.81072,Arequipa,M,"Silver, Gold",,M,Occurrence,Galena,,Volcanic Rock (Aphanitic),"Volcanic Rock (Aphanitic),Volcanic Breccia (Agglomerate),Dacite,Andesite"
"San Cristobal No. 6, Mina",-15.64773,-71.12459,Arequipa,M,Copper,Stockwork,S,Producer,,,Dacite,
"La Candelaria No. 10, Mina",-16.4977,-71.33292,Arequipa,M,Copper,,Y,Past Producer,"Atacamite, Malachite",Unknown,"Diorite,Quartzite",
"Andalucia Y Otros, Derecho Minero",-15.49774,-72.33295,Arequipa,M,Silver,,L,Producer,,,,
"Medalla Milagrosa, Minas",-16.63103,-71.4996,Arequipa,M,Copper,,S,Producer,"Atacamite, Malachite",Underground,Diorite,Diorite
"Santa Cecilia, Mina",-16.58103,-71.41626,Arequipa,M,Copper,,S,Occurrence,,,Diorite,
"Ccapo, Mina",-16.60603,-71.4996,Arequipa,M,Copper,,Y,Occurrence,,,,
"Nueva Espinal, Mina",-16.5977,-71.44959,Arequipa,M,"Copper, Silver",,S,Occurrence,Malachite,Underground,Metavolcanic Rock,Diorite
"Nueva Espinal No. 4, Mina",-16.5977,-71.44959,Arequipa,M,Copper,,S,Past Producer,,Underground,,Diorite
"Cimarron Unificado, Mina",-16.6977,-71.43292,Arequipa,M,Copper,,Y,Prospect,Malachite,,,
San Pablo,-16.56437,-71.58293,Arequipa,M,Copper,,Y,Occurrence,,,Volcanic Rock (Aphanitic),
"Huanaco, Mina",-16.56437,-71.4996,Arequipa,M,Copper,,S,Occurrence,,,Volcanic Rock (Aphanitic),
"La Fuerza Que Lucha, Mina",-16.56437,-71.5496,Arequipa,M,Copper,,Y,Occurrence,,,,Diorite
"Justicia No. 1, Mina",-16.84769,-71.33292,Arequipa,M,Copper,,Y,Occurrence,"Atacamite, Malachite",,Volcanic Rock (Aphanitic),Andesite
"San Antonio De Tinajones, Mina",-16.58103,-71.39959,Arequipa,M,Copper,,Y,Occurrence,,,Diorite,Diorite
"Rescate, Mina",-16.5727,-71.5496,Arequipa,M,Copper,,Y,Occurrence,,Underground,Plutonic Rock,Diorite
"Tinajones, Prospecto",-16.58103,-71.41626,Arequipa,M,Copper,,Y,Occurrence,Malachite,Surface,,Diorite
"Cascabel 79, Prospecto",-16.63103,-71.4996,Arequipa,M,Copper,,N,Occurrence,"Atacamite, Malachite",,Diorite,Diorite
"Nazareno 9, Prospecto",-16.5977,-71.41626,Arequipa,M,Copper,,Y,Occurrence,,Underground,,Diorite
"Justiniano, Prospecto",-16.61437,-71.44959,Arequipa,M,Copper,,Y,Occurrence,Malachite,,,Diorite
"Cuprita, Mina",-16.78936,-71.36626,Arequipa,M,Copper,,U,Occurrence,,,,
Minas De Cobre De Chapi S.A.,-16.7477,-71.35792,Arequipa,M,Copper,,L,Past Producer,,,Quartzite,
America,-16.78936,-71.35792,Arequipa,M,Copper,,U,Past Producer,,,Volcanic Rock (Aphanitic),
"Atahualpa No. 3, Mina",-16.75603,-71.39959,Arequipa,M,Copper,,Y,Past Producer,,,,
El Carolino,-16.99768,-71.6996,Arequipa,M,Copper,,Y,Occurrence,Malachite,,Volcanic Rock (Aphanitic),Andesite
"Luis Edgard, Mina",-17.08102,-71.7246,Arequipa,M,"Gold, Copper",,Y,Occurrence,Malachite,Underground,Volcanic Rock (Aphanitic),Andesite
"Rosa Maria, Mina",-17.00602,-71.7996,Arequipa,M,"Gold, Silver",,Y,Occurrence,Malachite,Underground,,Diorite
Luis Edgard 1,-17.05602,-71.73849,Arequipa,M,Gold,,Y,Occurrence,,Underground,,"Diorite,Andesite"
Santa Catalina,-17.01436,-71.56627,Arequipa,M,Copper,,Y,Prospect,"Atacamite, Malachite",Underground,Volcanic Rock (Aphanitic),
Jaguey No. 1,-16.58103,-72.66629,Arequipa,M,"Copper, Silver",,Y,Prospect,Malachite,Underground,,Granite
Chacllaco,-16.36438,-73.28297,Arequipa,M,Copper,,Y,Occurrence,Malachite,,Metavolcanic Rock,Granite
"Dieciseis De Agosto, Mina",-16.38104,-73.28297,Arequipa,M,Copper,,S,Occurrence,Malachite,Underground,,Granite
Tambillo,-16.56437,-72.32462,Arequipa,N,Mica,,Y,Occurrence,,Surface,,
"San Antonio, Denuncio",-16.6477,-72.31629,Arequipa,N,Mica,,N,Occurrence,,,,
"Vargas Gilardi, Denuncio",-16.7477,-72.33295,Arequipa,N,Mica,,Y,Occurrence,,Underground,,
"Grupo Marquese, Denuncio",-16.66437,-72.39129,Arequipa,N,Mica,,Y,Occurrence,,Surface,,
"Grupo Suares, Denuncios",-16.76437,-72.29962,Arequipa,N,Mica,,N,Occurrence,,,,
Grupo Quevedo-Salcedo,-16.71437,-72.40795,Arequipa,N,Mica,,Y,Occurrence,,,,
"Recuperada, Denuncio",-16.4977,-72.33295,Arequipa,N,Halite,,Y,Prospect,Caliche,,,
"Fernando V, Denuncio",-16.46438,-72.41629,Arequipa,N,Halite,,Y,Prospect,,,,
"Constancia, Concesion",-15.6644,-73.79966,Arequipa,M,Gold,,N,Prospect,,,,Diorite
